Tender ID,Status,Title,Organisation,Type / Method,Publishing Date,Closing Date,Days Left,Search Term,Notice Link
1306854,Live,Selection of Service Provider for Implementation and Management of NPSB and Bangla QR Solution under Software as a Service (SaaS) Model,"Ministry of Finance, | Financial Institutions Division, | Rajshahi Krishi Unnayan Bank (RAKUB), | ICT System Department","NCT,, OTM",07-Jul-2026 19:00,15-Jul-2026 14:30,2,software,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1306854&h=t
1303257,Live,"Selecting Consulting Farm (National) for Upgradation, Modification, Support, and Maintenance of Height Clearance Management System (HCMS) Software.","Ministry of Civil Aviation & Tourism, | Civil Aviation Authority of Bangladesh, | Office of the Executive Director (CEMSU)","NCT,, QCBS",25-Jun-2026 10:00,15-Jul-2026 12:00,2,software,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1303257&h=t
1307997,Live,Selection of Individual Consultant for the position Junior Software Expert (TOMPRO)-2,"Ministry of Local Government, Rural Development and Co-operatives, | Local Government Division, | Local Government Engineering Department (LGED), | Office of the Project Director, Climate Resilient and Livelihood Enhancement Project (CRALEP)","NCT,, IC",09-Jul-2026 10:00,23-Jul-2026 15:00,10,software,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1307997&h=t
1307988,Live,Selection of Individual Consultant for the position Junior Software Expert (TOMPRO)-1,"Ministry of Local Government, Rural Development and Co-operatives, | Local Government Division, | Local Government Engineering Department (LGED), | Office of the Project Director, Climate Resilient and Livelihood Enhancement Project (CRALEP)","NCT,, IC",09-Jul-2026 10:00,23-Jul-2026 15:00,10,software,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1307988&h=t
1301379,Live,Procurement of Core Communication Device for Data Center (DC) of Sonali Bank PLC.,"Ministry of Finance, | Financial Institutions Division, | Sonali Bank Limited, | IT Procurement & Maintenance Division","NCT,, OTM",18-Jun-2026 18:00,23-Jul-2026 15:30,10,data center,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1301379&h=t
1307494,Live,Procurement of ICT Goods and related accessories.,"Ministry of Energy, Power and Mineral Resources, | Energy & Mineral Resources Division, | Barapukuria Coal Mining Company Limited, | Marketing Division","NCT,, OTM",13-Jul-2026 15:30,28-Jul-2026 11:00,15,ICT,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1307494&h=t
1302685,Live,"Supply and personalization of polycarbonate (PC) driving license smart card, personalization printers with related software, hardware, accessories and related services","Ministry of Road Transport and Bridges, | Road Transport and Highways Division, | Bangladesh Road Transport Authority (BRTA), | Director (Engineering)","NCT,, OTM",08-Jul-2026 20:30,29-Jul-2026 14:00,16,software,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1302685&h=t
