Tender ID,Status,Title,Organisation,Type / Method,Publishing Date,Closing Date,Days Left,Search Term,Notice Link
1306854,Live,Selection of Service Provider for Implementation and Management of NPSB and Bangla QR Solution under Software as a Service (SaaS) Model,"Ministry of Finance, | Financial Institutions Division, | Rajshahi Krishi Unnayan Bank (RAKUB), | ICT System Department","NCT,, OTM",07-Jul-2026 19:00,15-Jul-2026 14:30,8,software,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1306854&h=t
1303257,Live,"Selecting Consulting Farm (National) for Upgradation, Modification, Support, and Maintenance of Height Clearance Management System (HCMS) Software.","Ministry of Civil Aviation & Tourism, | Civil Aviation Authority of Bangladesh, | Office of the Executive Director (CEMSU)","NCT,, QCBS",25-Jun-2026 10:00,15-Jul-2026 12:00,8,software,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1303257&h=t
1301379,Live,Procurement of Core Communication Device for Data Center (DC) of Sonali Bank PLC.,"Ministry of Finance, | Financial Institutions Division, | Sonali Bank Limited, | IT Procurement & Maintenance Division","NCT,, OTM",18-Jun-2026 18:00,23-Jul-2026 15:30,16,data center,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1301379&h=t
