Tender ID,Status,Title,Organisation,Type / Method,Publishing Date,Closing Date,Days Left,Search Term,Notice Link
1296054,Live,"Purchase of Supply, Installation and Testing of Bio-ICT Equipment and Software","Ministry of Education, | Secondary and Higher Education Division, | University of Dhaka, | Office of the Sub-Project Manager (HEAT-11002-DU)","NCT,, OTM",18-Jun-2026 12:00,02-Jul-2026 16:30,1,software,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1296054&h=t
1280008,Live,"Procurement of Machineries and Equipment for Yarn Engineering Department, FABRIC ENGINEERING DEPARTMENT, Wet Process Engineering Department & Computerized /Software based machineries for Sylhet textile Engineering college.","Ministry of Textiles & Jute, | Department of Textiles, | Establishment of Sylhet Textile Engineering College, Sylhet","NCT,, OTM",09-Jun-2026 10:30,02-Jul-2026 15:00,1,software,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1280008&h=t
1290893,Live,"Procurement of Machineries and Equipment for Yarn Engineering Department, Fabric Engineering Department, Wet Process Engineering Department & Computerized/Software based Machineries for Lalmonirhat Textile Institute.","Ministry of Textiles & Jute, | Department of Textiles, | Establishment of Lalmonirhat Textile Institute Project","NCT,, OTM",09-Jun-2026 10:30,02-Jul-2026 14:30,1,software,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1290893&h=t
1301606,Live,"Upgradation, Modernization & Support of Existing Prepayment Metering Applications, Database, Others related Framework &Tools under","Ministry of Energy, Power and Mineral Resources, | Power Division, | West Zone Power Distribution Company Ltd (WZPDCL), | Office of the Superintendent Engineer, Pre-paid Meter and Networking","NCT,, OTM",21-Jun-2026 16:00,06-Jul-2026 12:00,5,database,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1301606&h=t
1301557,Live,"Procurement of Laptop, Printer & accessories for official use of the Chief Engineer, Sylhet City Corporation.","Ministry of Local Government, Rural Development and Co-operatives, | Local Government Division, | Sylhet City Corporation, | Engineering Department (Civil), Sylhet City Corporation.","NCT,, OTM",22-Jun-2026 10:00,07-Jul-2026 17:00,6,laptop,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1301557&h=t
1294281,Live,Supply and Installation of Security Devices (Anti-DDoS and Load Balancer with WAF) for ICBS Data Center.,"Ministry of Energy, Power and Mineral Resources, | Power Division, | Rural Electrification Board (REB), | Information and Communication Technology (ICT) Directorate.","NCT,, OTM",16-Jun-2026 10:00,07-Jul-2026 12:00,6,data center,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1294281&h=t
1302716,Live,Procurement of 1. Processor 2. Gastrointestinal Videoscope 3. Colono Videoscope 4. Dudenovideoscope 5. 32 Inch 4k Uhd Lcd Medical Grad Monitor 6. Leak Tester 7. Endoscopic Image Software With Pc Lolor Monitor And Printer (Injket) 8.Multi Storage Trollet (Ss) (Local),"Ministry of Health and Family Welfare, | Bangladesh Medical University, | Central Purchase Committee","NCT,, OTM",25-Jun-2026 14:30,09-Jul-2026 14:30,8,software,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1302716&h=t
1305873,Live,"Supplying of ICT Apparatus at HSTU ,Dinajpur","Ministry of Education, | Secondary and Higher Education Division, | Hajee Mohammad Danesh Science & Technology University, | Office of the Vice Chancellor or Enginering Section,HSTU,Dinajpur","NCT,, OTM",30-Jun-2026 22:30,12-Jul-2026 11:00,11,ICT,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1305873&h=t
1304218,Live,Renewal of Oracle Database for NDC Managed Database Service.,"Ministry of Post, Telecommunications & Information Technology, | Information and Communication Technology Division, | Bangladesh computer Council (BCC), | Bangladesh Computer Council(BCC)","NCT,, OTM",29-Jun-2026 20:00,12-Jul-2026 15:00,11,database,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1304218&h=t
1304902,Live,Supply of manpower for Ships Database Management and Capacity Building Project (SDMCP).,"Ministry of Shipping, | Department of Shipping, | PD SDMCP","NCT,, OTM",29-Jun-2026 13:00,13-Jul-2026 15:00,12,database,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1304902&h=t
1299371,Live,"2 Years IT Support and Maintenance Service for ASYCUDA System Data Center (Segunbagicha) & Near Data Center (Customs House, Dhaka)","Ministry of Finance, | Internal Resource Division, | National Board of Revenue, | Customs Automation Section","NCT,, OTM",22-Jun-2026 15:00,14-Jul-2026 15:00,13,data center,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1299371&h=t
1302039,Live,"Networking Equipment, Projector and accessories, Large Format Interactive Display, Public Address (PA) System and Network Attached Storage (NAS).","Ministry of Education, | Secondary and Higher Education Division, | Noakhali Science & Technology University, | HEAT  Lab Establishment (PIN-12121)","NCT,, OTM",28-Jun-2026 10:00,14-Jul-2026 10:10,13,networking equipment,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1302039&h=t
1304743,Live,Procurement of ICT Equipment for SPMT office & laboratory,"Ministry of Education, | Secondary and Higher Education Division, | Khulna University, | HEAT Sub-Project (FMRT-13460)","NCT,, OTM",30-Jun-2026 10:00,15-Jul-2026 12:00,14,ICT,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1304743&h=t
1305524,Live,Procurement of 1.Video HD Processor with light source 2.Video HD Pleuroscope with standard accessories 3.Standard Autoclave 4.Report Printing System:Image Software 5.Suction Machine 6.Trolley 7.Diagnostic Video Bronchoscope,"Ministry of Health and Family Welfare, | Bangladesh Medical University, | Central Purchase Committee","NCT,, OTM",30-Jun-2026 14:30,15-Jul-2026 14:30,14,software,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1305524&h=t
1303257,Live,"Selecting Consulting Farm (National) for Upgradation, Modification, Support, and Maintenance of Height Clearance Management System (HCMS) Software.","Ministry of Civil Aviation & Tourism, | Civil Aviation Authority of Bangladesh, | Office of the Executive Director (CEMSU)","NCT,, QCBS",25-Jun-2026 10:00,15-Jul-2026 12:00,14,software,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1303257&h=t
1295484,Live,"Procurement of PLC, HMI, Laptop and Spare parts for various control panels and controllers under the I&C Division of 225 MW CCPP, Zone: C, APSCL","Ministry of Energy, Power and Mineral Resources, | Power Division, | Ashuganj Power Station Company Ltd., | Procurement Division","NCT,, OTM",16-Jun-2026 16:00,15-Jul-2026 16:00,14,laptop,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1295484&h=t
1304580,Live,Procurement of  1. Fiber Optic Laryngoscope-Adult & Paediatric 2.Transnasal Oesophagoscope system (TNE),"Ministry of Health and Family Welfare, | Bangladesh Medical University, | Central Purchase Committee","NCT,, OTM",29-Jun-2026 14:30,15-Jul-2026 14:30,14,fiber optic,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1304580&h=t
1282510,Live,Supply and Installation of ICT equipments for research work,"Ministry of Education, | Secondary and Higher Education Division, | Gazipur Agricultural University, | Office of the Sub-Project Manager under HEAT Project (13695)","NCT,, OTM",29-Jun-2026 22:55,19-Jul-2026 15:30,18,ICT,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1282510&h=t
1302305,Live,"Supply, Installation, Commisioning and Maintenace of CCTVs & Automated Gate Pass System at Sheola, Ramgarh and Bholaganj Land Ports","Ministry of Shipping, | Bangladesh Land Port Authority, | BRCP-1 Project","NCT,, OTM",29-Jun-2026 16:00,19-Jul-2026 14:30,18,CCTV,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1302305&h=t
1304842,Live,"Works for Operation, Maintenance and IT Support Service of LAN, WAN, IP Serveillance and Video Conferanceing System at WAPDA Building, BCIC Bhaban-2, Design Building, Biddyut Bhabna with ERP Data Center Daily Monitoring for 2 (Two) years.","Ministry of Energy, Power and Mineral Resources, | Power Division, | Bangladesh Power Development Board, | Dhaka Computer Centre","NCT,, OTM",29-Jun-2026 16:15,20-Jul-2026 12:00,19,ERP,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1304842&h=t
1303278,Live,"Procurement of CCTV System with Installation, Testing & Commissioning of Shikalbaha 225 MW Dual Fuel CCPP, BPDB, Shikalbaha, Chattogram, Bangladesh.","Ministry of Energy, Power and Mineral Resources, | Power Division, | Bangladesh Power Development Board, | Directorate of Purchase.","NCT,, OTM",29-Jun-2026 17:00,20-Jul-2026 14:00,19,CCTV,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1303278&h=t
1299416,Live,"Supply of License for Oracle Software and Oracle Database Appliance with related Operation, Support and Maintenance in BPDB.","Ministry of Energy, Power and Mineral Resources, | Power Division, | Bangladesh Power Development Board, | Directorate of Purchase.","NCT,, OTM",21-Jun-2026 18:45,21-Jul-2026 14:00,20,software,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1299416&h=t
1288281,Live,"Supply, Installation & Commissioning of Oracle Database Appliance (ODA) for Pre-Paid Metering System","Ministry of Energy, Power and Mineral Resources, | Power Division, | Dhaka Power Distribution Company Ltd. (DPDC), | DGM (ICT), Development","NCT,, OTM",30-Jun-2026 16:30,21-Jul-2026 15:30,20,database,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1288281&h=t
1302431,Live,"Supply, Installation, Commissioning of Oracle Database License and SoClass License Renewal, Training, Human Resource Support","Ministry of Finance, | Internal Resource Division, | National Board of Revenue, | Customs Automation Section","NCT,, OTM",29-Jun-2026 16:30,21-Jul-2026 15:00,20,database,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1302431&h=t
1305290,Live,"Procurement of 3D+ CAD Software, Cutting Plotter and 3D Foot Scanner for ILET-SICIP Program.","Ministry of Finance, | Finance Division, | Finance Division, | Office of the Executive Program Director, SDCMU, SICIP.","NCT,, OTM",29-Jun-2026 15:00,23-Jul-2026 12:00,22,software,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1305290&h=t
1301379,Live,Procurement of Core Communication Device for Data Center (DC) of Sonali Bank PLC.,"Ministry of Finance, | Financial Institutions Division, | Sonali Bank Limited, | IT Procurement & Maintenance Division","NCT,, OTM",18-Jun-2026 18:00,23-Jul-2026 15:30,22,data center,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1301379&h=t
1302712,Live,"Procurement of CCTV and Spare Parts of CCTV for Facility Division, APSCL","Ministry of Energy, Power and Mineral Resources, | Power Division, | Ashuganj Power Station Company Ltd., | Procurement Division","NCT,, OTM",23-Jun-2026 18:00,27-Jul-2026 16:00,26,CCTV,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1302712&h=t
