Tender ID,Status,Title,Organisation,Type / Method,Publishing Date,Closing Date,Days Left,Search Term,Notice Link
1326228,Live,Procurement of Necessary Software and Upgradation of Operation Managements Software,"Ministry of Home Affairs, | Bangladesh Police, | Central Procurement Section, Rapid Action Battalion Forces Headquarters, Kurmitola, Dhaka","NCT,, OTM",08-Sep-2026 09:00,20-Sep-2026 12:00,3,software,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1326228&h=t
1326225,Live,Procurement of Subscription for Various Software and Services,"Ministry of Home Affairs, | Bangladesh Police, | Central Procurement Section, Rapid Action Battalion Forces Headquarters, Kurmitola, Dhaka","NCT,, OTM",08-Sep-2026 09:00,20-Sep-2026 12:00,3,software,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1326225&h=t
1319440,Live,Repair & Maintenance of Vehicle Tracking System and Other Related Software Services.,"Ministry of Home Affairs, | Bangladesh Police, | Central Procurement Section, Rapid Action Battalion Forces Headquarters, Kurmitola, Dhaka","NCT,, OTM",08-Sep-2026 09:00,20-Sep-2026 12:00,3,software,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1319440&h=t
1324038,Live,"Post-disaster pole restoration, pole straightening, replacement of damaged transformers, and necessary repairs, maintenance, conservation and system development works of various 33 KV and 11 KV feeders under the Sales and Distribution Division- Chakaria, BPDB, Cox's Bazar.","Ministry of Energy, Power and Mineral Resources, | Power Division, | Bangladesh Power Development Board, | Office of the Executive Engineer, Sales and Distribution Division- Chakaria, BPDB, Coxsbazar.","NCT,, OTM",10-Sep-2026 10:00,20-Sep-2026 16:00,3,system development,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1324038&h=t
1330135,Live,Purchase of Network Device & Accessories for JPBS-1,"Ministry of Energy, Power and Mineral Resources, | Power Division, | Rural Electrification Board (REB), | Jashore Palli Bidyut Samity-1","NCT,, OTM",13-Sep-2026 14:00,23-Sep-2026 14:00,6,network device,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1330135&h=t
1331619,Live,Primary & Secondary Internet Core Router for Bangladesh Police Data Center.,"Ministry of Home Affairs, | Bangladesh Police, | ICT Section, Police Headquarters, Dhaka","NCT,, OTM",10-Sep-2026 11:00,24-Sep-2026 12:00,7,data center,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1331619&h=t
1327994,Live,Implementation of TOS Connectivity with necessary Hardwares & Network Devices in New Container Yard(RCC)of East Residential Area(Taltola yard) with other related works.,"Ministry of Shipping, | Chittagong Port Authority, | Deputy Chief Engineer_Electrical","NCT,, OTM",13-Sep-2026 23:30,24-Sep-2026 10:30,7,network device,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1327994&h=t
1333313,Live,"Supplying of ICT Apparatus at HSTU ,Dinajpur","Ministry of Education, | Secondary and Higher Education Division, | Hajee Mohammad Danesh Science & Technology University, | Office of the Vice Chancellor or Enginering Section,HSTU,Dinajpur","NCT,, OTM",15-Sep-2026 10:00,27-Sep-2026 12:00,10,ICT,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1333313&h=t
1317699,Live,Procurement of Car/vehicle Scaner with diagonostic software for All vehicles of Central Pool,"Ministry of Energy, Power and Mineral Resources, | Power Division, | Bangladesh Power Development Board, | Directorate of Estate and Transport, BPDB, Dhaka.","NCT,, OTM",13-Sep-2026 09:00,27-Sep-2026 12:30,10,software,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1317699&h=t
1312692,Live,"Expressions of Interest (EOI) from qualified and experienced firms/consortia for the design, supply, customization, implementation, integration, training, commissioning and post-implementation support of a secure, scalable, cloud-ready/web-based ERP System for Dhaka Mass Transit Company Limited (DMTCL).","Ministry of Road Transport and Bridges, | Road Transport and Highways Division, | Dhaka Mass Transit Company Limited (DMTCL), | Dhaka Mass Transit Company Limited","NCT,, QCBS",03-Sep-2026 17:40,27-Sep-2026 15:00,10,ERP,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1312692&h=t
1333729,Live,Purchase of New 100 Workstations and Data Center with Hardware and Software for National Emergency Service 999 on turnkey basis.,"Ministry of Home Affairs, | Bangladesh Police, | ICT Section, Police Telecommunication organization, Rajarbag, Dhaka","NCT,, OSTETM",14-Sep-2026 15:00,13-Oct-2026 12:10,26,software,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1333729&h=t
