Tender ID,Status,Title,Organisation,Type / Method,Publishing Date,Closing Date,Days Left,Search Term,Notice Link
1309150,Live,"Selection of a Software firm for maintenance, Enhancement, Upgradation and Technical Support of BIAM Foundation Training Management Software (TMS)","Ministry of Public Administration, | Bangladesh Institute of Administration and Management, | Bangladesh Institute of Administration and Management","NCT,, QCBS",19-Jul-2026 12:00,02-Aug-2026 13:00,9,software,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1309150&h=t
1311277,Live,Support and Upgradation of Integrated Database and Information Management (IDIM),"Ministry of Home Affairs, | Border Guard Bangladesh, | Communication Branch","NCT,, OTM",23-Jul-2026 08:00,02-Aug-2026 13:00,9,database,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1311277&h=t
1304957,Live,"Procurement of works for emergency leakage repair, valve pit maintenance/raising including cover replacement/maintenance and maintenance work of stations (CGS/TBS/DRS/RMS) in the network of SOM-Rupganj & SOM-Sonargaon section under Regional Operation Department-Narayanganj for the fiscal year 2026-2027.","Ministry of Energy, Power and Mineral Resources, | Energy & Mineral Resources Division, | Titas Gas Transmission & Distribution PLC, | Regional Operation Department (Narayanganj)","NCT,, OTM",22-Jul-2026 10:00,06-Aug-2026 14:00,13,IT maintenance,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1304957&h=t
1307137,Live,"Supply, Installation, Testing, Commissioning and Operationalization of a Tier-III Concurrently Maintainable Multi-Tenant Telco Cloud and Digital Services Data Center Platform and Related Facilities for BTCL on Turnkey Basis (International). Package: GD3","Ministry of Post, Telecommunications & Information Technology, | Post & Telecommunication Division, | Bangladesh Telecommunications Company Ltd. (BTCL), | BTCL Internet Protocol(IP) Network Development & Expansion (BIPNDE) Project","ICT,, OSTETM",15-Jul-2026 15:00,01-Sep-2026 14:00,39,data center,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1307137&h=t
