Tender ID,Status,Title,Organisation,Type / Method,Publishing Date,Closing Date,Days Left,Search Term,Notice Link
1289952,Live,"Procurement of Software and Database Maintenance as Hospital Automation System, Code-3258143","Ministry of Health and Family Welfare, | Health Services Division, | Directorate General of Health Services (DGHS), | National Center For Control Of Rheumatic Fever & Heart Disease","NCT,, OTM",09-Jun-2026 12:00,21-Jun-2026 12:00,1,software,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1289952&h=t
1287317,Live,"Goods: Supply of IT Equipment (NAS Server, KVM Console Monitor & PoE Switch) for IDCOL","Ministry of Finance, | Economic Relations Devision, | Infrastructure Development Company Limited (IDCOL), | Procurement Unit, IDCOL","NCT,, OTM",07-Jun-2026 11:00,21-Jun-2026 13:30,1,server,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1287317&h=t
1296111,Live,Procurement of AI Software Subscription for the CSE Discipline,"Ministry of Education, | Secondary and Higher Education Division, | Khulna University, | Office of The Planning and Development","NCT,, OTM",11-Jun-2026 17:00,22-Jun-2026 12:00,2,software,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1296111&h=t
1286049,Live,Procurement of Office Equipment (5 nos. Laptop and 1 no. Conference System) under GCF-RHL Project of PKSF,"Ministry of Finance, | Financial Institutions Division, | Palli Karma-Sahayak Foundation, | PKSF","NCT,, OTM",04-Jun-2026 10:00,22-Jun-2026 13:00,2,laptop,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1286049&h=t
1283451,Live,"Extension of existing CCTV system including fitting, fixing, installation, programming as per the requirement of security section at OIA,Sylhet.","Ministry of Civil Aviation & Tourism, | Civil Aviation Authority of Bangladesh, | Office of the Director (OIA)","NCT,, OTM",11-Jun-2026 21:30,22-Jun-2026 12:30,2,CCTV,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1283451&h=t
1288861,Live,"External Electrification under Enhancement of Agriculture Marketing Department (Sub-Head: Air Conditioning System, Centrifugal and Submersible Pump Motor with standby, Fire Extinguisher System, CCTV System, Faced Light and Security Light, TV with Dish Line, Lightning Protection System, LED/Neon/Panel Sign Board, Solar System)","Ministry of Housing and Public Works, | Public Works Department (PWD), | PWD EM Division-10, Dhaka","NCT,, OTM",07-Jun-2026 09:01,22-Jun-2026 11:37,2,CCTV,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1288861&h=t
1294896,Live,"""Supply of Laptops and Printers for the University of Dhaka""","Ministry of Education, | Secondary and Higher Education Division, | University of Dhaka, | Office of the Director of Accounts","NCT,, OTM",14-Jun-2026 01:38,23-Jun-2026 03:38,3,laptop,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1294896&h=t
1260185,Live,"Procurement of Office Equipment for PMU (Desktop Computer with monitor - 20 Nos. Laptop Computer - 6 Nos. Monolaser Printer - 11 Nos., Color Laser Printer - 1 Nos., Heavy Duty Scanner - 4 Nos., Photocopier Machine - 3 Nos., Multimedia Projector with universal celling Kit & Screen - 1 Nos., Digital Mirrorless Camera - 2 Nos., Smart TV 65 - 1 Nos., Fridge - 2 Nos., & Microwave Oven - 2 Nos.)","Ministry of Education, | Technical & Madrasha Education Division, | Directorate of Technical Education, | Office of the Project Director, TEVT Teachers for the Future (TTF) Program","NCT,, OTM",04-Jun-2026 12:30,23-Jun-2026 14:00,3,laptop,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1260185&h=t
1292099,Live,Purchase of CCTV Camera and Accessories for Jhalokathi PBS.,"Ministry of Energy, Power and Mineral Resources, | Power Division, | Rural Electrification Board (REB), | Jhalakathi Palli Bidyut Samity","NCT,, OTM",11-Jun-2026 11:00,24-Jun-2026 12:05,4,CCTV,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1292099&h=t
1296734,Live,Selection of Service Provider for Implementation and Management of NPSB and Bangla QR Solution under Software as a Service (SaaS) Model,"Ministry of Finance, | Financial Institutions Division, | Rajshahi Krishi Unnayan Bank (RAKUB), | ICT System Department","NCT,, OTM",14-Jun-2026 16:30,25-Jun-2026 17:00,5,software,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1296734&h=t
1253745,Live,IP Surveillance/ CCTV Camera System,"Ministry of Energy, Power and Mineral Resources, | Power Division, | Rural Electrification Board (REB), | Bagerhat Palli Bidyut Samity","NCT,, OTM",15-Jun-2026 13:00,25-Jun-2026 16:00,5,CCTV,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1253745&h=t
1293872,Live,Procurement of spares for existing CCTV system of shikalbaha 150 MW PPP,"Ministry of Energy, Power and Mineral Resources, | Power Division, | Bangladesh Power Development Board, | Executive Engineer ( Electrical , I & C ), 150MW Shikalbaha PPP","NCT,, OTM",11-Jun-2026 17:00,25-Jun-2026 11:00,5,CCTV,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1293872&h=t
1295488,Live,Procurement of CCTV Cameras and Accessories.,"Ministry of Energy, Power and Mineral Resources, | Power Division, | Rural Electrification Board (REB), | Dinajpur Palli Bidyut Samity-2","NCT,, OTM",11-Jun-2026 17:00,25-Jun-2026 11:00,5,CCTV,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1295488&h=t
1295078,Live,Procurement of Maintenance Services of Active Items and Passive Items for NESCO Data Center,"Ministry of Energy, Power and Mineral Resources, | Power Division, | Northern Electricity Supply Company Ltd., | Procurement Department, NESCO, Rajshahi","NCT,, OTM",11-Jun-2026 11:00,25-Jun-2026 11:00,5,data center,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1295078&h=t
1299322,Live,"Supplying of ICT Apparatus at HSTU ,Dinajpur","Ministry of Education, | Secondary and Higher Education Division, | Hajee Mohammad Danesh Science & Technology University, | Office of the Vice Chancellor or Enginering Section,HSTU,Dinajpur","NCT,, OTM",16-Jun-2026 21:40,28-Jun-2026 11:00,8,ICT,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1299322&h=t
1295090,Live,Procurement of CCTV Camera & Accessories,"Ministry of Energy, Power and Mineral Resources, | Power Division, | Rural Electrification Board (REB), | Cumilla Palli Bidyut Samity 1","NCT,, OTM",16-Jun-2026 10:00,28-Jun-2026 12:00,8,CCTV,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1295090&h=t
