Tender ID,Status,Title,Organisation,Type / Method,Publishing Date,Closing Date,Days Left,Search Term,Notice Link
1310384,Live,"Supply, installation, testing, and commissioning of software ( Auto analysis software for NGS, Gene Marker Software for MSI and aneuploidy Study)","Ministry of Health and Family Welfare, | Bangladesh Medical University, | HEAT Project (PIN-13787) Office","NCT,, OTM",09-Aug-2026 10:00,09-Sep-2026 12:00,6,software,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1310384&h=t
1320396,Live,Procurement Of Attendance Device and Management Software,"Ministry of Planning, | Planning Division, | Planning Division, | General Section 2","NCT,, OTM",30-Aug-2026 14:30,10-Sep-2026 15:00,7,software,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1320396&h=t
1321383,Live,Procurement of Network Devices for ICT Unit,"Ministry of Local Government, Rural Development and Co-operatives, | Local Government Division, | Local Government Engineering Department (LGED), | Office of the Superintending Engineer, ICT Unit, LGED HQ","NCT,, OTM",25-Aug-2026 09:00,10-Sep-2026 12:00,7,network device,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1321383&h=t
1323325,Live,"Procurement of Software Licences for CoxDA, FY 2026-27","Ministry of Housing and Public Works, | Cox's Bazar Development Authority, | Cox's Bazar Development Authority","NCT,, OTM",30-Aug-2026 15:00,13-Sep-2026 16:00,10,software,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1323325&h=t
1323727,Live,Selection of individual Consutant (GIS Consultant (Web Application Related)) for Strengthening GIS and Geocoding System of BBS Project.,"Ministry of Planning, | Statistics and Informatics Division, | Bangladesh Bureau of Statistics (BBS), | Strengthening GIS and Geocoding System of BBS Project","NCT,, IC",30-Aug-2026 14:30,13-Sep-2026 16:30,10,web application,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1323727&h=t
1320719,Live,Procurement of 480 Core VMware Software by Broadcom for Sonali Bank PLC.,"Ministry of Finance, | Financial Institutions Division, | Sonali Bank Limited, | IT Procurement & Maintenance Division","NCT,, OTM",19-Aug-2026 17:00,14-Sep-2026 15:00,11,software,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1320719&h=t
1312692,Live,"Expressions of Interest (EOI) from qualified and experienced firms/consortia for the design, supply, customization, implementation, integration, training, commissioning and post-implementation support of a secure, scalable, cloud-ready/web-based ERP System for Dhaka Mass Transit Company Limited (DMTCL).","Ministry of Road Transport and Bridges, | Road Transport and Highways Division, | Dhaka Mass Transit Company Limited (DMTCL), | Dhaka Mass Transit Company Limited","NCT,, QCBS",03-Sep-2026 17:40,27-Sep-2026 15:00,24,ERP,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1312692&h=t
