Tender ID,Status,Title,Organisation,Type / Method,Publishing Date,Closing Date,Days Left,Search Term,Notice Link
1318085,Live,"Supply & Installation of Central Antivirus Software with EDR Capabilities (1000 user, 3 years)","Ministry of Energy, Power and Mineral Resources, | Power Division, | Power Grid Bangladesh PLC, | ICT","NCT,, OTM",17-Aug-2026 11:00,27-Aug-2026 16:30,8,software,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1318085&h=t
1318646,Live,"Supply of Existing BDWS Automation Software Update/Develop, Modification, Hosting & Maintenance","Ministry of Defence, | Bangladesh Meteorological Department, | Storm Warning Center (SWC)","NCT,, OTM",16-Aug-2026 12:15,27-Aug-2026 15:00,8,software,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1318646&h=t
1314958,Live,Develop and Supply of an Integrated project management system (IPMS) software of Chattogram Metropolitan Sanitation project for North Kattoli Catchment as per technical specification mentioned in the Tender document.,"Ministry of Local Government, Rural Development and Co-operatives, | Local Government Division, | Chittagong Water Supply & Sewerage Authority, | Chattogram Metropolitan Sewerage Project for North Kattoli","NCT,, OTM",11-Aug-2026 17:43,27-Aug-2026 12:30,8,software,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1314958&h=t
1319050,Live,"Selection of firms for Software Solution for the Big Data Analysis Platform & Databases (Procurement, Supply, installation of DBMS Software, Virtualization of servers, network, storage, ETL Solution, Visualization, Analytics, Encryption, Security, Big Data Solution etc. and other related services) for Bangladesh Bureau of Statistics (BBS)","Ministry of Planning, | Statistics and Informatics Division, | Bangladesh Bureau of Statistics (BBS), | Capacity Building of Statistics Service based on Platform Project","NCT,, QCBS",17-Aug-2026 16:00,02-Sep-2026 14:00,14,software,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1319050&h=t
1310384,Live,"Supply, installation, testing, and commissioning of software ( Auto analysis software for NGS, Gene Marker Software for MSI and aneuploidy Study)","Ministry of Health and Family Welfare, | Bangladesh Medical University, | HEAT Project (PIN-13787) Office","NCT,, OTM",09-Aug-2026 10:00,09-Sep-2026 12:00,21,software,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1310384&h=t
