Tender ID,Status,Title,Organisation,Type / Method,Publishing Date,Closing Date,Days Left,Search Term,Notice Link
1304957,Live,"Procurement of works for emergency leakage repair, valve pit maintenance/raising including cover replacement/maintenance and maintenance work of stations (CGS/TBS/DRS/RMS) in the network of SOM-Rupganj & SOM-Sonargaon section under Regional Operation Department-Narayanganj for the fiscal year 2026-2027.","Ministry of Energy, Power and Mineral Resources, | Energy & Mineral Resources Division, | Titas Gas Transmission & Distribution PLC, | Regional Operation Department (Narayanganj)","NCT,, OTM",22-Jul-2026 10:00,06-Aug-2026 14:00,3,IT maintenance,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1304957&h=t
1304968,Live,"Regarding emergency leakage repair, valve pit maintenance/pit raising including cover replacement, and emergency maintenance of stations (CGS/TBS/RMS) in the distribution network of SOM-Narayanganj Section under Regional Operation Department-Narayanganj for the fiscal year 2026-2027.","Ministry of Energy, Power and Mineral Resources, | Energy & Mineral Resources Division, | Titas Gas Transmission & Distribution PLC, | Regional Operation Department (Narayanganj)","NCT,, OTM",27-Jul-2026 10:00,10-Aug-2026 10:00,7,IT maintenance,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1304968&h=t
1311095,Live,Procurement of AI Software Subscription for the CSE Discipline (Re),"Ministry of Education, | Secondary and Higher Education Division, | Khulna University, | Office of The Planning and Development","NCT,, OTM",02-Aug-2026 23:00,12-Aug-2026 11:00,9,software,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1311095&h=t
1313802,Live,"Supply, Installation & Commissioning of Cyber Security Software/Tools.","Ministry of Post, Telecommunications & Information Technology, | Information and Communication Technology Division, | Bangladesh computer Council (BCC), | Strengthening of BGD e-GOV CIRT Porject","NCT,, OTM",30-Jul-2026 15:30,16-Aug-2026 15:00,13,software,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1313802&h=t
